title,description,salary,date_posted
Booz Allen Hamilton,Data Management Manager,"$84,600 - $193,000 a year",22 days ago
Wellness Health Careers,IS Data Engineer,"$120,000 - $145,000 a year",11 days ago
Visa,"Director, Data Science & Advanced Analytics","$161,300 - $209,700 a year",11 days ago
AT&T,Professional Big Data Engineer,"$130,270 - $210,100 a year",2 days ago
State of California,Research Data Supervisor I,"$7,098 - $8,818",1 day ago
Oracle,Data-Analytics Sales Specialist - SLED,"$125,000 - $150,000 a year",12 days ago
Deutsche Bank,Senior Engineer - Data Engineer - Assistant Vice President,"$100,000 - $142,250 a year",Today
owl.Co,Part-Time Data Quality Analyst (Fraud Investigation),$20 an hour,Today
State of California,Research Data Specialist II,"$7,201 - $9,013",1 day ago
US Government Other Agencies and Independent...,"Data Scientist, CG-1560-13","$123,574 - $211,867 a year",1 day ago
TradeWeb,Data Engineer,"$120,000 - $240,000 a year",Today
Atlas Tech,Data Architect,"$150,000 - $200,000 a year",12 days ago
SynergisticIT,Remote Data Scientist/Engineer - Entry Level,"$100,000 a year",3 days ago
Explorex,Data Analyst,"$600,000",17 days ago
StreetLight Data,Senior Data Scientist,"$130,000 - $155,000 a year",4 days ago
Peraton,Senior Data Engineer,"$86,000 - $138,000 a year",1 day ago
Meta,Data Engineering Manager,"$236,474 - $279,400 a year",1 day ago
Capital One,"Senior Manager, Data Scientist - Business Card & Payments","$234,700 - $267,900 a year",15 days ago
J2 Health,Senior Data Engineer,"$160,000 - $190,000",2 days ago
Ascent Services Group,Data Scientist,$35 - $65 an hour,3 days ago
NES Associates,"Data Engineer, Sr","$89,250 - $120,750 a year",1 day ago
Capital One,"Director, Data Product Strategy & Governance","$233,100 - $266,000 a year",30+ days ago
Piper Maddox,Data Scientist,"$100,000 - $140,000",2 days ago
Mastercard,Senior Software Engineer / Data Engineer,"$115,000 - $184,000 a year",18 days ago
Trane Technologies plc,"Leader, Data Platforms","$142,000 - $189,000 a year",1 day ago
Unite Here Health,Sr. Developer II - Data Engineering,"$100,800 - $131,000 a year",1 day ago
The Housing Partnership Network,Data Analytics Associate (Co-Op),"$150,000 - $200,000 a year",12 days ago
New York Technology Partners,Data Modeler,$60 - $70,4 days ago
"Matson Navigation Company, Inc",Senior Data Engineer,"$101,600 - $138,200 a year",12 days ago
Department of Transportation - Federal Aviation...,Public Notice for Data Scientist (Direct Hire),"$59,797 - $161,775 a year",1 day ago
Capital One,Senior Associate Data Scientist - Commercial Pricing & Profitability...,"$138,500 - $158,100 a year",1 day ago
"Buyers Edge Platform, LLC",Data Scientist,"$80,000 - $100,000 a year",12 days ago
MasterBorn,Data Engineer,"$9,000 - $15,000",10 days ago
University of Texas,"Open Research Coordinator for Data and Software, UT Libraries","$52,000 a year",Today
Edmunds.com,Data Engineer,"$109,900 - $191,815 a year",Today
CareOregon,Medicare Encounter Data Analyst,"$78,270 - $94,710 a year",1 day ago
Target,Lead Data Scientist - Search,"$100,000 - $125,000 a year",12 days ago
Rise Technical Recruitment,Field Network Engineer (Telecom / Data Center),"$65,000 - $75,000 a year",1 day ago
Children's Mercy Kansas City,Neiss Data Abstractor,$22.59 an hour,Today
General Dynamics,Data Warehousing Project Manager - TS/SCI Required,"$69,104 - $122,366 a year",1 day ago
CVS Health,Data Scientist - Clinical Analytics,"$82,915 - $175,100 a year",26 days ago
IvyPanda,Data Analyst (Remote),"$70,000 a year",9 days ago
HSS,ML Ops Engineer - HSS Orthopedic Data Innovation Lab,"$140,000 - $180,000 a year",Today
CVS Health,Technical Health Data Analyst,"$97,335 - $201,900 a year",26 days ago
Northrop Grumman,Sentinel (GBSD) - Associate/Configuration Data Management Analyst,"$51,400 - $77,200 a year",15 days ago
General Dynamics,Data Engineer Advisor (TS/SCI with Poly Required),"$144,500 - $195,500 a year",11 days ago
Recruit Monitor,Remote Data Entry Specialist / Part-Time,$20 - $25 an hour,27 days ago
Clark Insurance,"Technical Program Manager, Data & Analytics","$85,230 - $149,205 a year",1 day ago
Unreal Gigs,Senior Data Warehouse Engineer,"$150,000 - $200,000 a year",12 days ago
WEX,Operational Data & Compliance Analyst 2,"$63,000 - $84,000 a year",3 days ago
New York Institute of Technology,Adjunct Faculty- Masters in Data Science,$95 - $104 an hour,13 days ago
Carta Healthcare,Clinical Data Abstractor - STS / Adult Cardiac - Part Time,$28 - $32 an hour,11 days ago
Desert Research Institute (DRI),Data Science Technician,$17.20 - $18.00 an hour,12 days ago
Harnham,Data Scientist,"$110,000 - $120,000 a year",2 days ago
The Hartford,Data Scientist/Actuarial Modeler (Remote),"$87,120 - $130,680 a year",22 days ago
Ampcus,Application Consultant - Big Data,"$125,000 - $150,000 a year",12 days ago
Vaco,Data Platform Supervisor,"$150,000 a year",3 days ago
Jobot,Senior Data Engineer,"$130,000 - $180,000 a year",4 days ago
Sierra Solutions Group,Data Quality Lead - Remote,"$125,000 - $150,000 a year",12 days ago
"NTT DATA Americas, Inc",Test Data Management Consultant,$55 - $65 an hour,2 days ago
Visa,Design Engineer - Data Experience and Visualization,"$132,900 - $214,150 a year",25 days ago
Boeing Intelligence & Analytics,Data Scientist - Mid Level - $5k Sign On,"$153,000 - $162,000 a year",3 days ago
BNY Mellon,"Executive Manager, Data Management","$136,500 - $375,000 a year",4 days ago
Astronomer,Data Analyst,"$100,000 - $130,000 a year",15 days ago
Oden Technologies,Data Scientist,"$120,000 - $180,000 a year",7 days ago
Job On Remote Online USA,Data Entry/File Clerk,$32 - $50 an hour,27 days ago
NTT DATA Group Corporation,Test Data Management Consultant,$55 - $65 an hour,Today
Matrix Absence Management,Data Engineer Associate,"$65,010 - $81,270 a year",1 day ago
Alteryx,Data Scientist,"$93,900 - $121,375 a year",2 days ago
ThriftBooks,Data Analytics Engineer,"$80,000 - $120,000 a year",2 days ago
University of Texas at Austin,"Open Research Coordinator for Data and Software, UT Libraries","$52,000 a year",1 day ago
Capital One,"Principal Associate, Data Scientist - Application Fraud Team","$165,100 - $188,500 a year",9 days ago
CVS Health,Senior Data Scientist - Clinical Analytics,"$106,605 - $206,000 a year",30+ days ago
Owl,Part-Time Data Quality Analyst (Fraud Investigation),$20 an hour,3 days ago
C4 Technical Services,Data Scientist II Remote,"$80,000 - $100,000 a year",12 days ago
Leidos,Principal Data Scientist,"$122,200 - $220,900 a year",13 days ago
University Of Vermont,Cancer Informatics and Data Specialist,"$80,000 - $90,000 a year",1 day ago
The Trade Desk,"Associate Manager, Data Partnerships Operations","$69,900 - $128,200 a year",26 days ago
Unreal Gigs,Lead Big Data Engineer,"$150,000 - $200,000 a year",12 days ago
"Sumitomo Mitsui Financial Group, Inc",Enterprise Data Steward,"$161,000 - $205,000 a year",4 days ago
Unreal Gigs,Senior Data Science Manager,"From $190,000 a year",Today
Booz Allen Hamilton,"Geoint Data Engineer, Senior","$75,600 - $172,000 a year",9 days ago
HUB International,Business Intelligence/Data Analyst,"$75,000 - $100,000 a year",5 days ago
CVS Health,Data Scientist - Analytics Cost & Operations,"$82,915 - $175,100 a year",30+ days ago
Alumis,"Associate Director, Data Management","$190,000 - $215,000 a year",Today
ProPivotal,"Marketing Data Analyst in Boston $65,000","$65,000 a year",1 day ago
iV,Da2 Data Analyst,"$50,000 - $80,000",4 days ago
Meta,"Mechanical Engineer, Data Center Design","$170,000 - $240,000 a year",6 days ago
Figma,"Manager, Data Science - Go-to-Market","$200,000 - $250,000 a year",12 days ago
Clarivate,Healthcare Research & Data Analyst (US Market Access),"$70,000 - $80,000 a year",12 days ago
Northwestern Mutual,Data Engineer,"$108,568 - $153,010 a year",11 days ago
NEXT Insurance,"Data Scientist, Payment and Revenue Product","$180,000 - $220,000 a year",4 days ago
Samsara Inc,Senior Data Engineer,"$123,250 - $159,500 a year",5 days ago
EAI Systems,"Pega SSA, LSA, BA, LBA and Data Analyst Positions",$50 - $75 an hour,4 days ago
ICF,Senior Environmental Data Validation Chemist (on-Call) - Remote,"$69,862 - $118,765 a year",1 day ago
Manpower Group Inc,"Sr, . Data Warehouse Developer",$60 - $65 an hour,1 day ago
PMI (Project Management Institute),Data Engineer II,"$168,854 a year",Today
ApTask,Data Scientist II,"$80,000 - $100,000 a year",12 days ago
Momento USA LLC,Gen AI Data Scientist,"$80,000 - $100,000 a year",12 days ago
Spokeo,Senior Data Engineer,"$135,900 - $166,500 a year",Today
SoFi,Senior Staff Data Engineer,"$150,000 - $200,000 a year",12 days ago
Replica Inc,Software Engineer (Data Production +Access),"$98,100",29 days ago
Apixio,Senior Data Platform Engineer,$96,2 days ago
JCD Staffing,Senior Data Migration Consultant,"$150,000 - $200,000 a year",12 days ago
Confi Global Express Inc,Remote - Data Entry Representative,$23 - $25 an hour,Today
ServiceNow,Senior Principal Product Manager - Data Stream Processing,"$203,000 - $285,200 a year",5 days ago
Starkflow,Data Analyst,"$1,000 a month",22 days ago
Prudential Financial,"PGIM Fixed Income - Vice President, Senior Azure Data Architect","$150,000 - $225,000 a year",26 days ago
Capital One,Senior Data Scientist - the AI Training Team,"$146,700 - $167,500 a year",27 days ago
Kalibri Labs,Senior Data Scientist,"$150,000 - $200,000 a year",12 days ago
Asana,Data Engineer,"$171,000 - $209,000",3 days ago
Publicis Sapient,"Senior Consultant, Data Strategy","$100,000 - $180,000 a year",7 days ago
Tradeweb,Global Head of Data Sales,"$200,000 - $300,000 a year",23 days ago
Coinbase,Senior Data Engineer,"$175,100 - $206,000 a year",12 days ago
M&T Bank,Head of Data Architecture,"$136,787 - $227,979 a year",11 days ago
Pmi (project Management Institute),Data Engineer II,"$168,854 a year",Today
TD2,"Director, Clinical Data Services","$160,000 - $190,000 a year",Today
Pinnacle Technical Resources Inc,CIO - Data/Technical Architect 6-10 Yr,$60 - $66,1 day ago
AppFolio,Sr. Data Scientist,"$185,000 a year",24 days ago
Samsara Inc,Senior Data Scientist - Data Visualization,"$120,275 - $155,650 a year",6 days ago
DANAHER CORPORATION,"Data Privacy Lead, Legal","$180,000 - $200,000 a year",30+ days ago
CACI,Data Architect (Public Health),"$95,500 - $210,100 a year",6 days ago
Ascella Technologies,Business Data Analyst,"$125,000 - $150,000 a year",12 days ago
Atlassian,"Senior Data Scientist, Cloud Operations Products","$152,200 - $202,900 a year",16 days ago
Capital One,Principal Data Scientist - Emerging ML,"$165,100 - $188,500 a year",30+ days ago
Albertsons Company Inc,Senior Data Product Manager,"$118,100 - $165,380",1 day ago
Associates Systems LLC,Data Engineer,"$125,000 - $150,000 a year",4 days ago
US Government Other Agencies and Independent...,Group Chief IC Data Operations,"$147,649 - $204,000 a year",1 day ago
Siemens,Data Scientist - Remote,$39 - $70,2 days ago
Reliance Standard,Data Engineer Associate,"$65,010 - $81,270 a year",4 days ago
Saxon Global,AWS Data Architect,"$250,000 a year",12 days ago
"i6 Group, Ltd",Lead Data Engineer,"$80,000 - $90,000 a year",22 days ago
"Fractal, Inc",Senior Data Scientist - Promo Optimization,$80 an hour,3 days ago
BJ's Wholesale Club,Director Data Science,"From $158,000 a year",Today
Genesis10,Data Analyst/SQL/Global Markets,$38.44 - $46.44 an hour,Today
Super Service,Data Analyst (Remote!),"$65,000 - $110,000 a year",4 days ago
Altus Group,Data Scientist (Remote),"$60,840 - $141,960 a year",1 day ago
Astronomer,Data Engineer,"$100,000 - $130,000 a year",22 days ago
General Dynamics,Data Architect - Senior - TS/SCI Required,"$153,598 - $207,810 a year",1 day ago
NEXT Insurance,"Data Scientist, Growth","$180,000 - $220,000 a year",18 days ago
Job On Remote Online USA,Customer Service / Data Entry Clerk,"$3,100 a week",27 days ago
Unreal Gigs,Real-Time Data Engineer,"$150,000 - $200,000 a year",12 days ago
"Meta Platforms, Inc",Data Center Production Operations Engineer,"$117,104 a year",1 day ago
Sutter Health dba Sutter Health System,Data Warehouse Developer,$47 - $71,11 days ago
Oscar Health,"Data Scientist I, Contracts & Out of Network","$119,200 - $156,450 a year",30+ days ago
Suntory Global Spirits,Director IT - Data Strategy,"$160,000 - $200,000 a year",9 days ago
Capital One,"Manager, Data Scientist - Credit Infrastructure Imperative - Team...","$201,400 - $229,900 a year",6 days ago
University of Rochester,"Survey Data Analyst, IT Intern",$15.00 - $25.48 an hour,1 day ago
"Cox Communications, Inc",Data Sr Analyst,"$85,600 - $128,500 a year",2 days ago
NTT DATA Services,AWS Data Engineer,$48 - $53 an hour,10 days ago
Fast Lab Tech,Business Data Analyst,"$60,000 - $78,000 a year",4 days ago
Childrens Home Society of Florida,Data Management Analyst- Florida Remote,"$44,000 a year",4 days ago
Sofi,"Senior Analyst, Financial Data Governance","$99,200 - $186,000 a year",1 day ago
SimilarWeb,Data Scientist,"$80,000 - $100,000 a year",12 days ago
Job On Remote Online USA,Data Entry and Filing,$14 - $20 an hour,30+ days ago
Capital One,"Senior Manager, Data Science - the AI Training Team","$234,700 - $267,900 a year",22 days ago
FIS,"Senior Product Manager, Data & Reporting","$129,990 - $218,380 a year",Today
Publicis Sapient,"Senior Associate, Data Engineering - Azure Cloud","$103,000 - $154,000 a year",30+ days ago
Capital One,Senior Data Engineer - Principal Associate,"$165,100 - $188,500 a year",6 days ago
CoinTracker,Engineering Lead - Integrations & Data Platform (Remote),"$50,000 - $80,000 a year",4 days ago
UnitedHealth Group,Principal Data Analyst - Remote,"$104,700 - $190,400 a year",14 days ago
Public Consulting Group,Data Analytics Manager,"$120,000 - $140,000 a year",1 day ago
Webflow,"Senior Data Engineer, Data Platform","$162,500 - $216,050 a year",8 days ago
"Core BTS, Inc",Solution Architect - Azure Data Analytics/Data Platform,"$155,000 - $175,000 a year",22 days ago
Professional Staffing Group,"Marketing Data Analyst in Boston! $65,000","$65,000 a year",4 days ago
"Princeton Legal Search Group, LLC",Data and Marketing Operations Specialist (Part-Time/Remote),$20 - $30 an hour,30+ days ago
Job On Remote Online USA,Administrative/ Data Entry,$20.09 - $30.19 an hour,30+ days ago
ProCore CPA,Senior Data Analyst,"$113,560 - $156,145 a year",3 days ago
Latitude Inc,Sr. Data Engineer (Mostly Remote),"$120,000 - $145,000 a year",2 days ago
Capital One,"Senior Associate, Data Scientist - Model Risk Office","$138,500 - $158,100 a year",7 days ago
Metropolitan Transportation Authority,Sr Manager HR Data Engineer,"$140,000 - $155,000 a year",1 day ago
Abt Global Inc,HR Data Science/Analytics Intern,$23 an hour,11 days ago
